question,answer
How do I place an order?,"Browse the menu, select your items, and proceed to checkout to confirm your order."
Can I cancel my order?,"You can cancel within a few minutes of placing the order, depending on the restaurant's preparation status."
How do I track my delivery?,"Real-time tracking is available once your order has been confirmed and picked up."
What payment methods are accepted?,"We accept Credit/Debit cards, Digital Wallets, Net Banking, and Cash on Delivery."
My order is late. What should I do?,"If your order is delayed beyond the estimated time, please contact customer support for assistance."
I received the wrong items.,"Please report the issue immediately through the support channel to request a refund or replacement."
Can I schedule an order for later?,"Yes, you can select a specific delivery time slot during the checkout process."
Is there a minimum order value?,"Minimum order requirements vary by restaurant and will be shown on the menu."
Do you offer contactless delivery?,"Yes, you can request the driver to leave the package at your door."
My payment failed but money was deducted.,"The amount will be automatically refunded to your source account within 5-7 business days."
Can I order from multiple restaurants at once?,"No, you must place separate orders for each restaurant."
Do you deliver 24/7?,"Delivery hours depend on the operating hours of the individual restaurants in your area."
Can I rate my delivery driver?,"Yes, you can provide a rating and feedback after your order is delivered."
Can I tip the driver?,"Yes, tipping is available during checkout or after delivery to appreciate the service."
My food arrived cold or damaged.,"Please report quality issues with a photo to our support team for compensation."
Is my payment information safe?,"Yes, we use industry-standard encryption to ensure your data is secure."
Do you charge a delivery fee?,"Fees vary based on the distance between you and the restaurant."
What happens if I am not home?,"The driver will attempt to contact you. If unreachable, the order may be returned."
How are refunds processed?,"Approved refunds are credited back to your original payment method."
Can I add special cooking instructions?,"Yes, you can add notes (e.g., 'no onions') for the chef on the item page."
Why was my order cancelled by the restaurant?,"Orders may be cancelled due to item unavailability or high demand. You will be fully refunded."
Do you provide cutlery?,"You can opt-in to receive cutlery on the checkout screen if needed."
Can I order food for someone else?,"Yes, simply enter their address as the delivery location before placing the order."
Are menu prices different from dine-in?,"Menu prices are set by the restaurant and may differ from their dine-in rates."
How do I handle food allergies?,"Please clearly specify any allergies in the 'Note to Chef' section for each item."
Can I get a tax invoice?,"Yes, a digital invoice is sent to your email after every order."
Do you have a referral program?,"Yes, you can invite friends and earn credits when they place their first order."
What if no drivers are available?,"During high demand, ordering may be temporarily paused until a driver becomes free."
Is there a limit on order size?,"There is no strict limit, but very large orders may require extra preparation time."
Can I reorder a previous meal?,"Yes, you can quickly repeat a purchase from your order history."